Sensor_ID,Timestamp,Voltage (V),Current (A),Temperature (°C),Power (W),Humidity (%),Vibration (m/s²),Equipment_ID,Operational Status,Fault Status,Failure Type,Last Maintenance Date,Maintenance Type,Failure History,Repair Time (hrs),Maintenance Costs (USD),Ambient Temperature (°C),Ambient Humidity (%),External Factors,X,Y,Z,Equipment Relationship,Equipment Criticality,Fault Detected,Predictive Maintenance Trigger
S_1,1/1/2024 0:00,110,0.5,20,55,40,0.2,E_1,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,0,0,0,Independent,High,1,1
S_2,1/1/2024 1:00,111,0.6,21,66.6,41,0.25,E_2,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,1,1,1,Dependent,Medium,0,0
S_3,1/1/2024 2:00,112,0.7,22,78.4,42,0.3,E_3,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,2,2,2,Dependent,High,0,0
S_4,1/1/2024 3:00,113,0.8,23,90.4,43,0.35,E_4,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,3,3,3,Independent,Medium,1,0
S_5,1/1/2024 4:00,114,0.9,24,102.6,44,0.4,E_5,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,4,4,4,Dependent,High,0,1
S_6,1/1/2024 5:00,115,0.5,25,57.5,45,0.2,E_6,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,5,5,5,Dependent,Medium,0,0
S_7,1/1/2024 6:00,116,0.6,26,69.6,46,0.25,E_7,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,6,6,6,Independent,High,1,0
S_8,1/1/2024 7:00,117,0.7,27,81.9,47,0.3,E_8,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,7,7,7,Dependent,Medium,0,0
S_9,1/1/2024 8:00,118,0.8,28,94.4,48,0.35,E_9,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,8,8,8,Dependent,High,0,1
S_10,1/1/2024 9:00,119,0.9,29,107.1,49,0.4,E_10,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,9,9,9,Independent,Medium,1,0
S_11,1/1/2024 10:00,110,0.5,20,55,40,0.2,E_11,Operational,No Fault,Overheating,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,10,10,10,Dependent,High,0,0
S_12,1/1/2024 11:00,111,0.6,21,66.6,41,0.25,E_12,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,11,11,11,Dependent,Medium,0,0
S_13,1/1/2024 12:00,112,0.7,22,78.4,42,0.3,E_13,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,12,12,12,Independent,High,1,1
S_14,1/1/2024 13:00,113,0.8,23,90.4,43,0.35,E_14,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,13,13,13,Dependent,Medium,0,0
S_15,1/1/2024 14:00,114,0.9,24,102.6,44,0.4,E_15,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,14,14,14,Dependent,High,0,0
S_16,1/1/2024 15:00,115,0.5,25,57.5,45,0.2,E_16,Under Maintenance,Fault Detected,Overheating,12/1/2024,Corrective,No Fault,5,200,20,40,Storm,15,15,15,Independent,Medium,1,0
S_17,1/1/2024 16:00,116,0.6,26,69.6,46,0.25,E_17,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,16,16,16,Dependent,High,0,1
S_18,1/1/2024 17:00,117,0.7,27,81.9,47,0.3,E_18,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,17,17,17,Dependent,Medium,0,0
S_19,1/1/2024 18:00,118,0.8,28,94.4,48,0.35,E_19,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,8,230,23,43,Clear Weather,18,18,18,Independent,High,1,0
S_20,1/1/2024 19:00,119,0.9,29,107.1,49,0.4,E_20,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,19,19,19,Dependent,Medium,0,0
S_21,1/1/2024 20:00,110,0.5,20,55,40,0.2,E_21,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,20,20,20,Dependent,High,0,1
S_22,1/1/2024 21:00,111,0.6,21,66.6,41,0.25,E_22,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,6,160,21,41,Storm,21,21,21,Independent,Medium,1,0
S_23,1/1/2024 22:00,112,0.7,22,78.4,42,0.3,E_23,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,22,22,22,Dependent,High,0,0
S_24,1/1/2024 23:00,113,0.8,23,90.4,43,0.35,E_24,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,23,23,23,Dependent,Medium,0,0
S_25,1/2/2024 0:00,114,0.9,24,102.6,44,0.4,E_25,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,9,190,24,44,Clear Weather,24,24,24,Independent,High,1,1
S_26,1/2/2024 1:00,115,0.5,25,57.5,45,0.2,E_26,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,25,25,25,Dependent,Medium,0,0
S_27,1/2/2024 2:00,116,0.6,26,69.6,46,0.25,E_27,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,210,21,41,Clear Weather,26,26,26,Dependent,High,0,0
S_28,1/2/2024 3:00,117,0.7,27,81.9,47,0.3,E_28,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,7,220,22,42,Storm,27,27,27,Independent,Medium,1,0
S_29,1/2/2024 4:00,118,0.8,28,94.4,48,0.35,E_29,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,28,28,28,Dependent,High,0,1
S_30,1/2/2024 5:00,119,0.9,29,107.1,49,0.4,E_30,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,240,24,44,Storm,29,29,29,Dependent,Medium,0,0
S_31,1/2/2024 6:00,110,0.5,20,55,40,0.2,E_31,Operational,Fault Detected,Overheating,12/1/2024,Preventive,Fault Detected,5,150,20,40,Clear Weather,30,30,0,Independent,High,1,0
S_32,1/2/2024 7:00,111,0.6,21,66.6,41,0.25,E_32,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,31,31,1,Dependent,Medium,0,0
S_33,1/2/2024 8:00,112,0.7,22,78.4,42,0.3,E_33,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,170,22,42,Clear Weather,32,32,2,Dependent,High,0,1
S_34,1/2/2024 9:00,113,0.8,23,90.4,43,0.35,E_34,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,8,180,23,43,Storm,33,33,3,Independent,Medium,1,0
S_35,1/2/2024 10:00,114,0.9,24,102.6,44,0.4,E_35,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,190,24,44,Clear Weather,34,34,4,Dependent,High,0,0
S_36,1/2/2024 11:00,115,0.5,25,57.5,45,0.2,E_36,Under Maintenance,No Fault,Overheating,12/1/2024,Corrective,No Fault,0,200,20,40,Storm,35,35,5,Dependent,Medium,0,0
S_37,1/2/2024 12:00,116,0.6,26,69.6,46,0.25,E_37,Operational,Fault Detected,Overload,12/1/2024,Preventive,Fault Detected,6,210,21,41,Clear Weather,36,36,6,Independent,High,1,1
S_38,1/2/2024 13:00,117,0.7,27,81.9,47,0.3,E_38,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,220,22,42,Storm,37,37,7,Dependent,Medium,0,0
S_39,1/2/2024 14:00,118,0.8,28,94.4,48,0.35,E_39,Operational,No Fault,None,12/1/2024,Preventive,No Fault,0,230,23,43,Clear Weather,38,38,8,Dependent,High,0,0
S_40,1/2/2024 15:00,119,0.9,29,107.1,49,0.4,E_40,Under Maintenance,Fault Detected,None,12/1/2024,Corrective,No Fault,9,240,24,44,Storm,39,39,9,Independent,Medium,1,0
S_41,1/2/2024 16:00,110,0.5,20,55,40,0.2,E_41,Operational,No Fault,Overload,12/1/2024,Preventive,No Fault,0,150,20,40,Clear Weather,40,40,10,Dependent,High,0,1
S_42,1/2/2024 17:00,111,0.6,21,66.6,41,0.25,E_42,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,160,21,41,Storm,41,41,11,Dependent,Medium,0,0
S_43,1/2/2024 18:00,112,0.7,22,78.4,42,0.3,E_43,Operational,Fault Detected,None,12/1/2024,Preventive,Fault Detected,7,170,22,42,Clear Weather,42,42,12,Independent,High,1,0
S_44,1/2/2024 19:00,113,0.8,23,90.4,43,0.35,E_44,Under Maintenance,No Fault,None,12/1/2024,Corrective,No Fault,0,180,23,43,Storm,43,43,13,Dependent,Medium,0,0
